section 1,Contact Details
,"How are ""Goods Out"" appointments tracked? Existing WMS, Third Party Tool, Paper based?"
,"Are ""Goods Out"" appointment KPI reports currently available?"
*%$break&%*,
section 23,"""Goods Out"" - Delivery Creation"
*%$introduction$%*,
,"What % of ""Goods Out"" Deliveries are pre-advised?"
,"What % of ""Goods Out"" Deliveries are unscheduled?"
,"Who enters ""Goods Out"" Deliveries - Security Hatch/Gate, Back Office, Warehouse Staff?"
,"What Documentation is used to create ""Goods Out"" Deliveries - ASN, Driver Supplied documentation etc.?"
*%$break&%*,
section 24,"""Goods Out"" Advance Shipping Notifications/Pre Advice"
*%$introduction$%*,
,% Telephone
,% Fax
,% Email (In the body of an email)
,"% A file attachment to an Email e.g. Excel, CSV etc."
,% Automated File Import 
,% Web Portal 
,% Other 
,"Please provide a breakdown of the ""Goods Out"" ASN's currently being received from your Customers/Suppliers "
,"Can PSL be provided with sample files for Electronic ""Goods Out"" ASN's?"
*%$break&%*,
section 25,Picking Overview
*%$introduction$%*,
,"What is the average number of ""Goods Out"" loads per day?"
,What is the average number orders picked per day?
,What is the average number of lines per order?
,What is the average number of items per order?
,"What % of the pick operation is ""Full Pallet"" picks?"
,"What % of the pick operation is ""Case picks""?"
,"What % of the pick operation is ""Piece Picks"" ?"
,"Is Picking currently, Paper Based, RF Barcode scanning or Voice enabled?"
,Do you currently use Fixed Label Printers at Goods Out?
,Do you currently use wireless/mobile Label Printers at Goods Outs?
,"Do all ""Picking"" ""Marshalling"" and ""Loading"" locations have full wireless coverage? "
,Are you required to produce SSCC barcode Labels?
,Do you have your own GTIN (Global Trading Identification Number) or are you using the Suppliers/Customers?
,Do you need to create despatch file of SSCC numbers e.g. Tesco TIMS?
,Do you have Zebra ZM 600 Printers
,How many warehouse operators are assigned to Picking ? 
,Are Picking staff dedicated (or do they perform other tasks)?
,Are Full pallet picks performed by different staff to - Case Level /Item level picking?
,What is the decision making criteria in releasing orders to pickers?
,"Who currently assigns/releases pick instructions? Warehouse supervisors, operatives choose, back office?"
,How are orders currently assigned to pickers?
,Are full Pallet Picks segregated from case picks?
,Are Single orders sent to multiple pickers?
,Do you have requirements to rotate your stock other than FIFO
,Do you have different stock rotation depending on the consignee?
,Does stock ever enter the warehouse (e.g. from production with a shorter shelf live than stock in the pick face?
,What is the procedure if the above occurs?
,Are there different stock rotation rules at Product Class Level or Product Level or Consignee Level
,Are you required to control Best Before or Lot Numbers or other such traceable information through the pick face?
,Drive In racking - Can rule stock be extracted by conditions e.g. Take it from easiest location if rules adhered to 
,Are crushability rules a feature of the Pick operation? e.g. Lead should not be packed on top of fresh flowers
,Can you provide PSL with a documented rule book?
*%$subhead$%*,Goods out - Customer Information Capture
,Load Number 
,Vehicle Number 
,Trailer Number
,Seal Number 
,Supplier Number 
,Product Code
,Temperature 
,Kill/Slaughter Date
,Plant ID
,Production Date
,Packaging Date
,Best Before Date
,Batch Number 
,Lot Number 
,Serial Numbers
,Case Weights 
,Variable Weight Items
,Other
,Do temperature tolerances need to be managed?
,Do Date tolerances need to be managed e.g. minimum shelf life at goods  in?
,Is product outside of a tolerance handled differently 
,"Is it quarantined, Does it go through a different process?"
,Does the Customer information above change on a Customer by Customer basis?
,Does the Customer Information Change above change on a Product by Product basis?
,Can you provide a Matrix of the above Product & required Customer Information?
,Are you allowed apply your own labels to Pallets at Goods Out?
,Are you allowed apply your own labels to Cases at Goods Out?
,"Are Labels printed at the time of Application, or in advance?"
,What is the average Number of Full Pallets - Shipped unbroken -per day?
,What % of full Pallet Picks are Marshalled/Staged?
,"What % of Full Pallet Picks are loaded directly to an ""Goods Out"" Trailer or Container?"
,"What is the average number of warehouse operatives dedicated full time to ""Full Pallet Picks"""
,Do you apply a Despatch Label to Full Pallet Picks ?
,"Currently are Full pallet picks paper based, Radio Frequency or Voice based?"
,Is Dual Cycling currently in operation? 
,On average how many Cases are picked per day?
,What is the average number of cases picked per order?
,How many case pickers on the busiest shift?
,What best describes your current case pick operation
,Typically what are case picked onto/into (e.g. Pallets/Cages)
,"Are Case picks currently paper based, Radio Frequency or Voice based, other?"
,Are Case Picks labelled ?
,How many SKU's are involved in the case picking?
,How many Pick face locations do you operate?
,Do you require pick to zero on pick faces/full traceability through the pick face?
,Are Variable Weight cases a feature of the business?
,Are Serial Item Tracking a feature of your case picking operation?
,Number of Pallets Replenished to the Pick Face - Per day
,What % of Case Picks are Checked for accuracy?
,Are they any Pallet Building Rules 
,How many consignees have specific pallet building function?
,"On average how many ""Piece picks"" per day?"
,"What is the average number of ""Pieces"" picked per order?"
,"How many ""Piece pickers"" on the busiest shift?"
,What best describes your current piece pick operation
,Typically what are Pieces picked onto/into (e.g. Cages/Boxes)
,"Are Piece picks currently paper based, Radio Frequency or Voice based, other?"
,Are Piece Picks labelled ?
,How many SKU's are involved in the Piece picking?
,How many Pick face locations are operated for Piece Picks?
,Are Case Picks and Piece Pick faces Shared?
,Do you break cases open?
,Do you pick small items from shelves
,Do you require pick to zero on pick faces/full traceability through the pick face?
,Are Variable Weight cases a feature of the business?
,Are Serial Item Tracking a feature of your case picking operation?
,What % of Piece Picks are Checked for accuracy?
,Are replenishments performed in real-time
,Do you deplete the pick-face to Zero?
,Do you perform optimistic replenishments
,Can two Forklift drivers be in a single Aisle?
,Describe your replenishment procedures
,"Is there a requirement for Perpetual Inventory Counting e.g. Every ""X"" visit to the pick-face the picker gets a count Instruction post pick"
,What number of Groups will stock Categorised into 
,Do certain consignees have specific pick criteria:-
,How are damages discovered during the pick process managed?
,Are their defined condition codes to stock at Goods Out?
,Is there any requirement to match condition codes to Customers/Suppliers codes?
,How are shortages discovered during the pick process managed?
*%$break&%*,
section 26,Marshalling 
*%$introduction$%*,
,What % of Goods are Marshalled post pick?
,What % of Goods are loaded directly to a vehicle?
,Are there any space constraints at Marshalling?
,"Are there any temperature constraints at Marshalling e.g. Chill, Frozen?"
,"Are ""Split Picks"" consolidated at Marshalling"
,"Are Marshalling Areas currently identified and if so how? - Barcodes, Bus stops, Floor Marking "
*%$break&%*,
section 27,Loading Function
*%$introduction$%*,
,Are Goods currently Scanned to Vehicles?
*%$subhead$%*,BRC (British Retail Consortium) Goods Out 
,BRC - Do you record BRC Information at Goods Out?
,Are BRC details Captured at Header Level at Good Out?
,Are BRC details Captured at Line Level at Goods Out?
*%$subhead$%*,Loading Instructions
,Who currently releases orders to Loading
,How is loading Sequenced?
*%$break&%*,
section 28,Goods Out Documentation
*%$introduction$%*,
,What documents are produced at the time of receipt creation - Please List
,How many formats of documentation are in use?
,Are Delivery Dockets Standard e.g. One Standard or variable layouts dependent on consignee?
,Is The management of Customer paper work a feature of the operation?
,Are Laser Printers is use?
,Are Dot Matrix Printers in use?
,Do you currently scan Paper work in a document management system?
*%$break&%*,
section 29,"""Goods Out"" Confirmations"
*%$introduction$%*,
,Do you notify anyone of the confirmed Goods Outs quantity
,How is this notification currently performed 
,Do you currently send Supplier/customer confirmation by by Post 
,Do you currently send Supplier/customer confirmation by by E-mail 
,Do you currently send Supplier/customer confirmation by by Fax 
,Do you currently send Supplier/customer confirmation by Other
*%$break&%*,
section 30,Charging at Goods In
*%$introduction$%*,
,Are Charges applied at Goods Out?
,Per Load
,Per Pallet
,Weight 
,Other 
,Do you perform any Value added Services (VAS's) at Goods Out
*%$break&%*,
section 31,Proof of Delivery Management
*%$introduction$%*,
,Is the company responsible for Consignee Proof of Delivery Paper Work
,Please Describe this process
*%$break&%*,
section 32,Transport and Manifesting
*%$introduction$%*,
,Do you perform your own Transport?
,Do you perform Manifesting for Transport
*%$break&%*,
section 33,Stock Taking 
*%$introduction$%*,
,What is the average value of stock held on the site?
,How many Stock owners
,How often are stock takes performed Daily/Weekly/Fortnightly/Monthly/Annually?
,Do you Cycle count?
," If Yes - On average, how many times per year are Cycle Counts completed?"
,On average how many hours per week are spent by warehouse operatives on stock taking activities?
,On average how many hours per week is spent by back office operatives on stock taking activities?
,On average how many hours per week is spent by management on stock taking activities?
,Do you currently operate Perpetual Inventory Counting? Perpetual Inventory - Counting Stock while performing picks?
,Do you stock take pick faces daily?
,"On average, What is the current value annual stock losses?"
*%$break&%*,
section 34,Stock Adjustments
*%$introduction$%*,
,Do these occur only after Stock Takes?
,Do these occur throughout the daily operations
,How many Pick face stock adjustments do you perform daily
,Who has authority to make stock adjustments?
,Are there established Stock Adjustment Codes
,Are Stock Owners notified of Stock Adjustments
,How are Stock Owners Notified
*%$break&%*,
section 35,Internal Stock Transfers - Re-Warehousing
*%$introduction$%*,
,How many Pallets do you move around daily to maximise capacity
,Do you have drive in racking 
,Do you re-Warehouse drive in racks to maximise extraction efficiency and space
,Do you rewarehouse replenishment pallets to be closer to the pick face
,How many Internal Stock Transfer Occur Daily?
,How is this process managed?
*%$break&%*,
section 36,Vendor Managed Inventory
*%$introduction$%*,
,"Is this a feature of the operation, does ownership change at any stage?"
,Please describe
*%$break&%*,
section 37,Stock On Hold/Quality Hold
*%$introduction$%*,
,What Triggers a Stock on hold occurrence?
,Do external systems need to be notified
,How does this process operate?
*%$break&%*,
section 38,Release Stock from Hold /Quality Hold
*%$introduction$%*,
,What Triggers a Stock Release occurrence?
,Do external systems need to be notified
,How does this process operate?
*%$break&%*,
section 39,Returns from Deliveries
*%$introduction$%*,
,On average how many Returns from Deliveries occur per day
,What % of returns are advised/planned
,What % of returns are unplanned - with driver unannounced
,How many hours are spent by warehouse operative on returns activities per day?
,How many hours are spent by back office operatives on returns activities per day?
,How many hours are spent by management on returns activities per day?
,What % of returns are due to miskicks?
,How many Credit notes are generate as a result of returns activities?
,Is good stock returned to pick faces?
,Is returns function licked to the POD
*%$break&%*,
section 40,Returns to Suppliers
*%$introduction$%*,
,On average how many Returns to suppliers occur per day
,What % of returns are advised/planned
,What % of returns are unplanned - Refused entry to site
,How many hours are spent by warehouse operative on returns activities per day?
,How many hours are spent by back office operatives on returns activities per day?
,How many hours are spent by management on returns activities per day?
*%$break&%*,
Section 41,Bonded Operations 
*%$introduction$%*,
,Do you have a Bonded Area? 
,Do you perform any Customs Clearance?
,What type of clearances do you have/do?  
,Do you require integration to online Customs e.g. CHIEF System?  
,What system do you currently use?
,Are transactions manually entered or automated? 
,How many Chief Transactions do you perform in a Month? 
,What Sea Ports/Airports do you receive stock into? 
,What Sea Ports/Airports do you despatch stock from? 
,What are you currently paying/month? 
*%$break&%*,
section 42,Servers - PC's - Laser Printers etc. 
*%$introduction$%*,
*%$subhead$%*,IT Hardware Vendor
,Company Name
,Company Address Line 1
,Company Address Line 2
,Company Address Line 3
,Company Address Line 4
,Company Address Line 5
,Company Address Line 6
,Landline Telephone Number 
,Mobile Telephone Number 
,Contact Name
,Contact Title 
,Contact email
*%$subhead$%*,Typical Questions include:-
,What is the current server specification?
,What is the operating systems on the server ? E.g. Windows 2008
,Is this server your domain controller?
,Is this machine 32 or 64 bit?
,What is currently being run on the server
,What anti-virus product is it? 
,Do you have Excel on the server?
,What Email Exchange Software do you operate e.g. Microsoft Outlook
,Do you run Microsoft SBS - Small Business Server
,Are your servers hosted externally?
,What VM ware is running
,Do you have anti-virus protection on the server
,What is the speed of the broadband on site currently?
,What is the maximum bandwidth available in the area?
,Please outline the make and model number of each printer type proposed to be used on site
,Pc's
,Screen Resolutions
,Laser Printers
,Dot Matrix Printers
,Company website
*%$break&%*,
section 43,RF Infrastructure and Mobile computing Supplier Details
*%$introduction$%*,
,Company Name
,Company Address Line 1
,Company Address Line 2
,Company Address Line 3
,Company Address Line 4
,Company Address Line 5
,Company Address Line 6
,Landline Telephone Number 
,Mobile Telephone Number 
,Contact Name
,Contact Title 
,Contact email
,Company website
*%$subhead$%*,Typical Questions include:-
,Provide a Schedule of equipment - Manufacture Name - Model number - Specification & Quantity of each onsite
,Access Points
,Mobile Handheld Scanner
,Truck Mounted Scanners 
,Label Printers 
,Mobile Label Printers
,Other 
,Confirm areas of wireless coverage
,Confirm adequacy of wireless coverage
,Is the wireless network 802.11b compliant?
 ,
section 44,Hosted Solution Vendor
*%$introduction$%*,
*%$subhead$%*,Hosted Solution Vendor
,Company Name
,Company Address Line 1
,Company Address Line 2
,Company Address Line 3
,Company Address Line 4
,Company Address Line 5
,Company Address Line 6
,Landline Telephone Number 
,Mobile Telephone Number 
,Contact Name
,Contact Title 
,Contact email
,Company website
*%$break&%*,
section 45,Charging and Invoicing 
*%$introduction$%*,
,Are there standard rates that are applied?
,When are charges applied at Goods In
,Handballing/Palletisation Charges - Goods In
,When are charges applied at Goods Out
,"What are storage charges based on ? E.g. Pallet Quantities, Weight on hand etc."
,How are storage charges calculated?
,When does your storage period run e.g. Saturday to Saturday/Monday to Monday?
,What is the basis for the quantity charge calculated?
,Does Stock Ownership change during its time in the warehouse
,Is Free Storage Periods a feature of the business? 
,Are there any charges during an invoicing period that occur independent of storage and handling?
,Are there any minimum charges per billing period independent of Storage and Handling?
 ,
,Do you currently capture activities for Value added services?
,How many customers have different types of billing ?
,Can a Charging Matrix be provided to PSL?
*%$break&%*,
section 46,Third Party System Interfacing
*%$introduction$%*,"Message Summary  Invoices Header and Line Information to Accounts Package Purchase Order Information - Pending Goods Inwards Confirmed Goods In - Actual quantities - Used to manage Variances Sales Order Information - Pick Instructions Confirmed Picked orDespatched Quantity Delivered/POD/Signed Quantity Unadvised Returns from consignees Advised Return/Uplift Instructions from consignees  Advised Return Instructions to Suppliers Place Stock on Hold Notice  Release Stock on Hold Notice Adjustment ification  Stock Balance
Product Master 
Customer Master Consignee Master "
,How many internal IT resources are currently employed?
,What number of integrations to in-house systems existing?
,What number of integrations to Customer Supplier systems existing?
,Do the internal IT resources current perform these integrations?
,What is the name of the System Name
,"What type of system is it accounts, ERP, Manufacturing etc."
,Is this system currently integrated 
,Is there documentation available on the integration?
,Type of interface required - File transfer or Database Level
,"Are Sample Files available? XML, EDIFACT, CSV etc."
,Is this an Internal Systems?
,Is this a supplier or Customer systems?
,Do Systems Reside side by side ? Yes/No
,"If Files Transfer is required -what is the preferred transport mechanism - FTP, AS2, Sonic etc."
,Are Master Files updated?
,Will Principal Systems Ltd Standard File Formats be used by the client?
*%$break&%*,
